threshold,total_bets,wins,losses,pushes,total_profit,total_risked,avg_season_mae,win_rate_excluding_pushes,roi
0.5,2803,1393,1335,75,-1546.7218491800172,280300,10.220953720738509,0.5106304985337243,-0.005518094360256929
1.5,1472,731,697,44,-66.45296381102128,147200,10.220953720738509,0.5119047619047619,-0.000451446765020525
2.5,749,382,344,23,2077.1477777212317,74900,10.220953720738509,0.5261707988980716,0.027732280076384935
3.5,402,212,179,11,2364.810918652875,40200,10.220953720738509,0.5421994884910486,0.05882614225504664
4.5,230,120,103,7,1260.5994925686325,23000,10.220953720738509,0.5381165919282511,0.05480867358994054
